"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"438",15,"Ben Skowronek",LAR,"WR144","7","2 out of 5 stars","-"
"439",15,"Denzel Mims",NYJ,"WR145","10","1 out of 5 stars","-"
"440",15,"Mike Boone",DEN,"RB125","9","3 out of 5 stars","-"
"441",15,"Gardner Minshew II",PHI,"QB45","7","4 out of 5 stars","-"
"442",15,"Jake Ferguson",DAL,"TE59","9","3 out of 5 stars","-"
"443",15,"Jeremy Ruckert",NYJ,"TE60","10","3 out of 5 stars","-"
"444",15,"Quinn Nordin",FA,"K37","-","-","-"
"445",15,"Blake Jarwin",FA,"TE61","-","-","-"
"446",15,"Chigoziem Okonkwo",TEN,"TE62","6","5 out of 5 stars","-"
"447",15,"Ihmir Smith-Marsette",CHI,"WR146","14","3 out of 5 stars","-"
"448",15,"Gary Brightwell",NYG,"RB126","9","3 out of 5 stars","-"
"449",15,"Abram Smith",FA,"RB127","-","-","-"
"450",15,"Kalif Raymond",DET,"WR147","6","3 out of 5 stars","-"
"451",15,"Chris Herndon IV",FA,"TE63","-","-","-"
"452",15,"Noah Gray",KC,"TE64","8","3 out of 5 stars","-"
"453",15,"Lance McCutcheon",LAR,"WR148","7","2 out of 5 stars","-"
"454",15,"Chris Moore",HOU,"WR149","6","3 out of 5 stars","-"
"455",15,"Antoine Wesley",ARI,"WR150","13","2 out of 5 stars","-"
"456",15,"Eric Ebron",FA,"TE65","-","-","-"
"457",15,"N'Keal Harry",CHI,"WR151","14","3 out of 5 stars","-"
"458",15,"Montrell Washington",DEN,"WR152","9","4 out of 5 stars","-"
"459",15,"Jeremy McNichols",PIT,"RB128","9","3 out of 5 stars","-"
"460",15,"Carlos Hyde",FA,"RB129","-","-","-"
"461",15,"Larry Rountree III",LAC,"RB130","8","2 out of 5 stars","-158"
"462",15,"Tarik Cohen",FA,"RB131","-","-","-"
"463",15,"Keelan Cole Sr.",FA,"WR153","-","-","-"
"464",15,"Freddie Swain",MIA,"WR154","11","2 out of 5 stars","-"
"465",15,"Auden Tate",FA,"WR155","-","-","-"
"466",15,"Qadree Ollison",DAL,"RB132","9","4 out of 5 stars","-"
"467",15,"Maxx Williams",ARI,"TE66","13","3 out of 5 stars","-"
"468",15,"Jordan Akins",HOU,"TE67","6","3 out of 5 stars","-"
"469",15,"Derrick Gore",FA,"RB133","-","-","-"
"470",15,"Cyril Grayson Jr.",FA,"WR156","-","-","-"
"471",15,"Brock Wright",DET,"TE68","6","4 out of 5 stars","-"
"472",15,"Royce Freeman",HOU,"RB134","6","3 out of 5 stars","-"
"473",15,"Jalen Wydermyer",NE,"TE69","10","4 out of 5 stars","-"
"474",15,"Kevin Harris",NE,"RB135","10","4 out of 5 stars","-"
"475",15,"Trayveon Williams",CIN,"RB136","10","3 out of 5 stars","-"
"476",15,"DeSean Jackson",FA,"WR157","-","-","-"
"477",15,"Tyler Kroft",SF,"TE70","9","4 out of 5 stars","-"
"478",15,"Marquise Goodwin",SEA,"WR158","11","4 out of 5 stars","-"
"479",15,"Tyrell Williams",FA,"WR159","-","-","-"
"480",15,"Charlie Kolar",BAL,"TE71","10","2 out of 5 stars","-"
"481",15,"Nick Vannett",NO,"TE72","14","4 out of 5 stars","-"
"482",15,"Jordan Howard",FA,"RB137","-","-","-"
"483",15,"Breshad Perriman",TB,"WR160","11","4 out of 5 stars","-"
"484",15,"Carlos Martinez",DAL,"K38","9","5 out of 5 stars","-"
"485",15,"Jimmy Graham",FA,"TE73","-","-","-"
"486",15,"Patrick Ricard",BAL,"RB138","10","4 out of 5 stars","-"
"487",15,"Rico Dowdle",DAL,"RB139","9","4 out of 5 stars","-"
"488",15,"KhaDarel Hodge",ATL,"WR161","14","4 out of 5 stars","-"
"489",15,"Le'Veon Bell",FA,"RB140","-","-","-"
"490",15,"Antonio Williams",NYG,"RB141","9","3 out of 5 stars","-"
"491",15,"JaMycal Hasty",JAC,"RB142","11","3 out of 5 stars","-"
"492",15,"Tim Jones",JAC,"WR162","11","4 out of 5 stars","-"
"493",15,"Justyn Ross",KC,"WR163","8","2 out of 5 stars","-"
"494",15,"Dante Pettis",CHI,"WR164","14","3 out of 5 stars","-"
"495",15,"Simi Fehoko",DAL,"WR165","9","3 out of 5 stars","-"
"496",15,"Dezmon Patmon",IND,"WR166","14","4 out of 5 stars","-"
"497",15,"Marcedes Lewis",GB,"TE74","14","1 out of 5 stars","-"
"498",15,"Blake Bell",KC,"TE75","8","3 out of 5 stars","-"
"499",15,"Lirim Hajrullahu",FA,"K39","-","-","-"
"500",15,"Jacob Harris",LAR,"TE76","7","3 out of 5 stars","-"
"501",15,"Kylin Hill",GB,"RB143","14","3 out of 5 stars","-"
"502",15,"Cam Sims",WAS,"WR167","14","4 out of 5 stars","-"
"503",15,"Jake Funk",LAR,"RB144","7","2 out of 5 stars","-"
"504",15,"Scotty Miller",TB,"WR168","11","4 out of 5 stars","-"
"505",15,"Tyron Johnson",LV,"WR169","6","2 out of 5 stars","-"
"506",15,"Blaine Gabbert",TB,"QB46","11","3 out of 5 stars","-"
"507",15,"Jody Fortson",KC,"TE77","8","3 out of 5 stars","-"
"508",15,"Nick Boyle",BAL,"TE78","10","2 out of 5 stars","-"
"509",15,"Ray-Ray McCloud",SF,"WR170","9","3 out of 5 stars","-"
"510",15,"Drew Sample",CIN,"TE79","10","2 out of 5 stars","-"
"511",15,"Jermar Jefferson",DET,"RB145","6","4 out of 5 stars","-"
"512",15,"Cole Turner",WAS,"TE80","14","4 out of 5 stars","-"
"513",15,"J.J. Taylor",NE,"RB146","10","4 out of 5 stars","-206"
"514",15,"Andrew Jacas",SF,"K40","9","3 out of 5 stars","-"
"515",15,"Jashaun Corbin",NYG,"RB147","9","3 out of 5 stars","-"
"516",15,"Brycen Hopkins",LAR,"TE81","7","3 out of 5 stars","-"
"517",15,"Erik Ezukanma",MIA,"WR171","11","2 out of 5 stars","-"
"518",15,"Zach Gentry",PIT,"TE82","9","4 out of 5 stars","-"
