"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"372",13,"John Bates",WAS,"TE48","14","4 out of 5 stars","-"
"373",13,"John Metchie III",HOU,"WR123","6","3 out of 5 stars","-68"
"374",13,"Atlanta Falcons",ATL,"DST31","14","5 out of 5 stars","-128"
"375",13,"DeeJay Dallas",SEA,"RB105","11","2 out of 5 stars","+38"
"376",13,"Houston Texans",HOU,"DST32","6","4 out of 5 stars","-"
"377",13,"Calvin Austin III",PIT,"WR124","9","4 out of 5 stars","-50"
"378",13,"Travis Homer",SEA,"RB106","11","2 out of 5 stars","+40"
"379",13,"Rashard Higgins",CAR,"WR125","13","3 out of 5 stars","-39"
"380",13,"Keaontay Ingram",ARI,"RB107","13","2 out of 5 stars","-127"
"381",13,"Jauan Jennings",SF,"WR126","9","3 out of 5 stars","-33"
"382",13,"Kylen Granson",IND,"TE49","14","2 out of 5 stars","-"
"383",13,"Noah Brown",DAL,"WR127","9","3 out of 5 stars","-"
"384",13,"Josiah Deguara",GB,"TE50","14","1 out of 5 stars","-38"
"385",13,"Taysom Hill",NO,"TE51","14","4 out of 5 stars","-187"
"386",13,"Devonta Freeman",FA,"RB108","-","-","-16"
"387",13,"Kene Nwangwu",MIN,"RB109","7","4 out of 5 stars","+30"
"388",14,"Anthony Schwartz",CLE,"WR128","9","4 out of 5 stars","-"
"389",14,"Joey Slye",WAS,"K31","14","4 out of 5 stars","-114"
"390",14,"Dee Eskridge",SEA,"WR129","11","4 out of 5 stars","+34"
"391",14,"Trestan Ebner",CHI,"RB110","14","5 out of 5 stars","-"
"392",14,"Chris Conley",HOU,"WR130","6","3 out of 5 stars","+37"
"393",14,"Zane Gonzalez",CAR,"K32","13","4 out of 5 stars","+33"
"394",14,"Deonte Harty",NO,"WR131","14","4 out of 5 stars","+6"
"395",14,"Tyler Johnson",TB,"WR132","11","4 out of 5 stars","-"
"396",14,"Equanimeous St. Brown",CHI,"WR133","14","3 out of 5 stars","-17"
"397",14,"Laquon Treadwell",JAC,"WR134","11","4 out of 5 stars","-"
"398",14,"Malik Willis",TEN,"QB39","6","4 out of 5 stars","-48"
"399",14,"Ashton Dulin",IND,"WR135","14","4 out of 5 stars","-"
"400",14,"Benny Snell Jr.",PIT,"RB111","9","3 out of 5 stars","+10"
"401",14,"Wayne Gallman Jr.",FA,"RB112","-","-","-16"
"402",14,"Austin Seibert",DET,"K33","6","3 out of 5 stars","-"
"403",14,"Pharaoh Brown",HOU,"TE52","6","3 out of 5 stars","+31"
"404",14,"Jonathan Garibay",FA,"K34","-","-","+32"
"405",14,"Teddy Bridgewater",MIA,"QB40","11","2 out of 5 stars","-"
"406",14,"Tutu Atwell",LAR,"WR136","7","2 out of 5 stars","+6"
"407",14,"Craig Reynolds",DET,"RB113","6","4 out of 5 stars","-"
"408",14,"Tylan Wallace",BAL,"WR137","10","3 out of 5 stars","-"
"409",14,"Brandon Bolden",LV,"RB114","6","2 out of 5 stars","-16"
"410",14,"Zach Pascal",PHI,"WR138","7","4 out of 5 stars","-39"
"411",14,"Tristan Vizcaino",NE,"K35","10","5 out of 5 stars","-"
"412",14,"Juwan Johnson",NO,"TE53","14","4 out of 5 stars","-8"
"413",14,"Anthony McFarland Jr.",PIT,"RB115","9","3 out of 5 stars","-111"
"414",14,"Jamal Agnew",JAC,"WR139","11","4 out of 5 stars","-"
"415",14,"Keelan Cole Sr.",LV,"WR140","6","2 out of 5 stars","-"
"416",14,"Derrick Gore",FA,"RB116","-","-","-22"
"417",14,"Geoff Swaim",TEN,"TE54","6","5 out of 5 stars","+18"
"418",14,"Freddie Swain",SEA,"WR141","11","4 out of 5 stars","+13"
"419",14,"Antonio Brown",FA,"WR142","-","-","-72"
"420",14,"Mack Hollins",LV,"WR143","6","2 out of 5 stars","-"
"421",14,"Kyle Juszczyk",SF,"RB117","9","2 out of 5 stars","0"
"422",14,"Kalif Raymond",DET,"WR144","6","3 out of 5 stars","-30"
"423",14,"Mike Boone",DEN,"RB118","9","3 out of 5 stars","-"
"424",14,"Justice Hill",BAL,"RB119","10","4 out of 5 stars","-4"
"425",14,"Tony Jones Jr.",NO,"RB120","14","3 out of 5 stars","-104"
"426",14,"Will Dissly",SEA,"TE55","11","2 out of 5 stars","-"
"427",14,"Riley Patterson",DET,"K36","6","3 out of 5 stars","-"
